estado;nome;Unemployed_2007;Unemployed_2008;Unemployed_2009;Unemployed_2010;Unemployed_2011;Unemployed_2012;Unemployed_2013;Unemployed_2014;Unemployed_2015;Unemployed_2016;quantidade
HI;Hawaii;17860;27571;45168;44967;44934;38883;31553;29098;24143;20688;32487
MN;Minnesota;132686;158746;228550;217601;191015;165215;146513;123720;110949;117040;159204
MN;Aitkin County, MN;525;620;792;760;681;559;506;449;448;492;583
MN;Anoka County, MN;8608;10368;15960;15013;12783;11034;9445;7815;6859;7166;10505
MN;Becker County, MN;963;1136;1479;1392;1264;1037;982;854;804;848;1076
MN;Beltrami County, MN;1277;1464;1873;1854;1841;1595;1432;1237;1152;1241;1497
MN;Benton County, MN;1144;1399;1964;1837;1605;1353;1267;1094;958;961;1358
MN;Big Stone County, MN;133;155;169;189;187;148;138;115;119;132;149
MN;Blue Earth County, MN;1364;1646;2429;2427;2070;1837;1600;1322;1160;1267;1712
MN;Brown County, MN;710;894;1099;1038;885;835;754;646;599;609;807
MN;Carlton County, MN;976;1161;1487;1490;1344;1200;1045;920;864;942;1143
MN;Carver County, MN;1959;2473;3688;3473;2877;2530;2293;1961;1748;1855;2486
MN;Cass County, MN;1016;1219;1500;1519;1419;1229;1147;996;938;967;1195
MN;Chippewa County, MN;303;371;565;525;453;373;356;312;304;316;388
MN;Chisago County, MN;1590;1869;2720;2607;2206;1877;1587;1343;1197;1259;1826
MN;Clay County, MN;1079;1192;1570;1874;1920;1689;1490;1197;1102;1233;1435
MN;Clearwater County, MN;397;463;619;601;543;465;475;474;420;453;491
MN;Cook County, MN;151;174;218;219;209;190;177;172;138;140;179
MN;Cottonwood County, MN;252;331;407;405;377;386;333;291;275;401;346
MN;Crow Wing County, MN;1826;2271;3221;3050;2758;2374;2173;1841;1622;1627;2276
MN;Dakota County, MN;9316;11307;16517;15845;13801;11907;10393;8718;7660;7980;11344
MN;Dodge County, MN;476;574;821;782;676;571;535;468;427;431;576
MN;Douglas County, MN;885;1011;1380;1346;1196;998;880;739;687;706;983
MN;Faribault County, MN;407;483;707;624;552;453;403;384;328;325;467
MN;Fillmore County, MN;567;668;911;844;745;624;556;484;465;464;633
MN;Freeborn County, MN;806;930;1391;1320;1132;968;818;702;616;627;931
MN;Goodhue County, MN;1235;1427;1960;1881;1613;1376;1253;1050;945;1002;1374
MN;Grant County, MN;178;215;265;270;233;204;188;163;157;155;203
MN;Hennepin County, MN;26686;32313;47652;45597;39732;34502;30467;25364;22211;22859;32738
MN;Houston County, MN;556;628;875;831;735;614;524;458;399;418;604
MN;Hubbard County, MN;585;723;952;967;874;767;686;599;584;635;737
MN;Isanti County, MN;1292;1504;2195;1978;1715;1422;1210;1021;869;963;1417
MN;Itasca County, MN;1613;1751;2463;2285;2041;1746;1674;1446;1444;1892;1836
MN;Jackson County, MN;252;278;378;352;330;282;258;263;253;277;292
MN;Kanabec County, MN;654;822;1059;984;875;785;715;657;582;587;772
MN;Kandiyohi County, MN;1004;1168;1600;1571;1414;1227;1112;1002;899;925;1192
MN;Kittson County, MN;142;140;181;194;178;149;145;116;114;112;147
MN;Koochiching County, MN;454;503;629;602;569;535;556;543;508;525;542
MN;Lac qui Parle County, MN;168;198;264;272;241;194;205;173;154;157;203
MN;Lake County, MN;275;326;561;482;400;350;358;260;268;347;363
MN;Lake of the Woods County, MN;116;137;172;148;145;143;134;113;107;114;133
MN;Le Sueur County, MN;872;1056;1528;1391;1190;1006;943;833;748;761;1033
MN;Lincoln County, MN;146;165;196;190;178;162;153;142;119;123;157
MN;Lyon County, MN;552;644;855;851;810;672;630;551;491;537;659
MN;McLeod County, MN;1023;1239;1915;1820;1555;1351;1118;913;794;875;1260
MN;Mahnomen County, MN;164;174;189;207;189;172;138;133;139;137;164
MN;Marshall County, MN;413;406;523;528;483;440;425;377;396;413;440
MN;Martin County, MN;495;562;874;842;744;610;543;480;424;433;601
MN;Meeker County, MN;734;825;1197;1127;991;839;704;590;559;598;816
MN;Mille Lacs County, MN;939;1114;1557;1457;1241;1059;949;846;729;762;1065
MN;Morrison County, MN;1065;1337;2020;1768;1542;1266;1189;1085;961;1005;1324
MN;Mower County, MN;823;939;1311;1274;1177;1031;915;773;654;647;954
MN;Murray County, MN;230;276;326;344;314;260;258;236;224;237;271
MN;Nicollet County, MN;699;863;1247;1207;1015;900;735;602;535;578;838
MN;Nobles County, MN;386;463;606;646;605;490;445;383;369;433;483
MN;Norman County, MN;181;199;230;248;244;208;190;166;160;167;199
MN;Olmsted County, MN;3020;3553;4979;4829;4276;3649;3332;2859;2448;2533;3548
MN;Otter Tail County, MN;1549;1806;2406;2212;1974;1710;1618;1399;1306;1368;1735
MN;Pennington County, MN;589;618;791;759;656;567;546;455;465;523;597
MN;Pine County, MN;1049;1211;1624;1507;1333;1120;1024;895;822;868;1145
MN;Pipestone County, MN;198;249;353;339;327;244;215;180;167;188;246
MN;Polk County, MN;765;849;1008;1137;1224;1088;918;786;724;747;925
MN;Pope County, MN;271;324;444;419;345;277;254;226;222;225;301
MN;Ramsey County, MN;11917;14293;20602;20128;18084;15685;13475;11148;9851;10190;14537
MN;Red Lake County, MN;186;187;245;232;196;169;152;131;137;167;180
MN;Redwood County, MN;390;438;568;578;507;453;440;352;323;342;439
MN;Renville County, MN;445;501;688;724;626;571;535;448;412;446;540
MN;Rice County, MN;1593;1927;2855;2721;2307;2026;1728;1441;1253;1265;1912
MN;Rock County, MN;156;191;268;272;237;202;179;143;125;137;191
MN;Roseau County, MN;615;473;724;555;456;403;378;323;341;425;469
MN;St Louis County, MN;5747;6618;9649;8384;7513;6600;6174;5192;5057;5888;6682
MN;Scott County, MN;2956;3694;5449;5086;4318;3775;3365;2809;2474;2583;3651
MN;Sherburne County, MN;2439;3061;4472;4123;3489;3009;2597;2229;1981;2055;2946
MN;Sibley County, MN;438;541;699;670;585;503;456;381;353;364;499
MN;Stearns County, MN;3797;4639;6539;6180;5378;4655;4234;3573;3183;3358;4554
MN;Steele County, MN;878;1055;1788;1637;1365;1170;974;803;707;757;1113
MN;Stevens County, MN;210;262;301;309;272;237;206;180;160;172;231
MN;Swift County, MN;277;318;394;424;371;313;284;235;311;271;320
MN;Todd County, MN;663;798;1117;1048;903;756;684;595;569;609;774
MN;Traverse County, MN;95;96;119;117;110;89;84;78;76;67;93
MN;Wabasha County, MN;543;609;932;865;737;619;544;471;452;445;622
MN;Wadena County, MN;466;531;714;661;569;486;428;380;374;373;498
MN;Waseca County, MN;487;566;859;791;666;588;545;464;403;407;578
MN;Washington County, MN;5106;6464;9336;8858;7842;6875;5958;4940;4333;4646;6436
MN;Watonwan County, MN;276;357;493;461;396;353;325;302;292;321;358
MN;Wilkin County, MN;132;153;190;209;213;178;150;121;122;122;159
MN;Winona County, MN;1192;1382;2211;2021;1714;1460;1289;1092;976;1040;1438
MN;Wright County, MN;3340;4116;6093;5634;4804;4114;3553;2995;2643;2817;4011
MN;Yellow Medicine County, MN;243;297;377;370;328;285;271;227;205;211;281
MS;Mississippi;79455;85781;120289;135729;134061;118340;109207;94062;81341;74653;103292
MS;Adams County, MS;852;874;1170;1446;1392;1225;1108;968;913;935;1088
MS;Alcorn County, MS;1057;1158;1764;1815;1757;1393;1200;1006;890;824;1286
MS;Amite County, MS;324;363;527;594;572;478;417;356;342;334;431
MS;Attala County, MS;554;649;926;998;892;744;680;613;533;473;706
MS;Benton County, MS;272;318;395;408;419;349;330;279;239;203;321
MS;Bolivar County, MS;1250;1289;1564;1697;1675;1529;1481;1272;1053;981;1379
MS;Calhoun County, MS;490;528;650;649;620;561;541;467;380;336;522
MS;Carroll County, MS;316;343;509;504;463;405;368;324;284;260;378
MS;Chickasaw County, MS;739;776;942;955;943;818;816;701;550;472;771
MS;Choctaw County, MS;261;270;406;444;388;338;320;291;232;212;316
MS;Claiborne County, MS;391;388;573;598;588;544;563;454;392;352;484
MS;Clarke County, MS;518;533;743;830;797;724;667;565;478;415;627
MS;Clay County, MS;1175;939;1268;1425;1295;1208;1299;1059;769;655;1109
MS;Coahoma County, MS;928;915;1200;1436;1480;1286;1271;1125;953;819;1141
MS;Copiah County, MS;895;857;1195;1369;1414;1311;1211;992;815;741;1080
MS;Covington County, MS;470;520;707;833;797;708;629;518;467;445;609
MS;DeSoto County, MS;2997;3649;5439;5938;5980;5370;4813;4349;4068;3656;4626
MS;Forrest County, MS;1840;2068;2846;3327;3543;3104;2804;2397;2068;1914;2591
MS;Franklin County, MS;217;230;333;368;348;300;274;244;226;205;275
MS;George County, MS;644;705;941;1006;1098;904;811;735;665;652;816
MS;Greene County, MS;372;447;559;546;567;513;453;390;327;315;449
MS;Grenada County, MS;693;701;1098;1091;994;886;827;670;565;502;803
MS;Hancock County, MS;951;1019;1445;1766;1903;1656;1492;1336;1213;1146;1393
