estado;nome;Unemployed_2007;Unemployed_2008;Unemployed_2009;Unemployed_2010;Unemployed_2011;Unemployed_2012;Unemployed_2013;Unemployed_2014;Unemployed_2015;Unemployed_2016;quantidade
MS;Harrison County, MS;4566;4697;6504;7794;8076;7272;6552;5712;5107;4775;6106
MS;Hinds County, MS;6480;6862;9358;11187;11260;10161;9409;7846;6588;6014;8517
MS;Holmes County, MS;769;920;1335;1342;1234;1094;1058;921;736;661;1007
MS;Humphreys County, MS;382;418;523;600;633;604;526;406;313;272;468
MS;Issaquena County, MS;54;59;76;85;104;83;91;75;72;57;76
MS;Itawamba County, MS;711;806;1106;1167;1056;875;808;709;585;529;835
MS;Jackson County, MS;3246;3518;5008;6132;6825;5977;5429;4718;4163;3893;4891
MS;Jasper County, MS;455;524;755;859;825;700;650;548;500;477;629
MS;Jefferson County, MS;364;366;467;465;472;437;479;387;340;334;411
MS;Jefferson Davis County, MS;367;385;536;648;645;576;534;422;360;350;482
MS;Jones County, MS;1428;1599;2196;2548;2493;2175;1939;1653;1598;1586;1922
MS;Kemper County, MS;319;326;486;576;558;521;511;479;370;311;446
MS;Lafayette County, MS;1043;1158;1712;2019;1970;1801;1651;1489;1339;1268;1545
MS;Lamar County, MS;1005;1116;1572;1986;2035;1817;1634;1423;1395;1345;1533
MS;Lauderdale County, MS;2111;2241;3065;3522;3524;3127;2903;2457;2082;1887;2692
MS;Lawrence County, MS;385;410;571;613;589;508;438;378;344;334;457
MS;Leake County, MS;516;565;778;888;864;776;696;557;486;474;660
MS;Lee County, MS;2293;2594;3865;4068;3963;3422;3176;2794;2216;1983;3037
MS;Leflore County, MS;1098;1185;1631;1779;1731;1573;1538;1332;1132;966;1397
MS;Lincoln County, MS;910;1013;1394;1519;1446;1244;1077;909;866;826;1120
MS;Lowndes County, MS;1946;1957;2647;3098;2875;2517;2517;2204;1768;1573;2310
MS;Madison County, MS;2119;2344;3125;3598;3494;3149;2924;2617;2366;2281;2802
MS;Marion County, MS;646;723;1047;1285;1166;1058;940;816;733;680;909
MS;Marshall County, MS;1143;1233;1735;1871;1846;1671;1508;1247;1045;879;1418
MS;Monroe County, MS;1515;1523;2137;2143;1996;1786;1831;1557;1143;989;1662
MS;Montgomery County, MS;409;388;627;644;580;530;496;387;326;272;466
MS;Neshoba County, MS;704;748;1234;1227;1114;974;857;730;653;616;886
MS;Newton County, MS;534;612;831;927;867;738;673;586;535;516;682
MS;Noxubee County, MS;500;516;683;699;637;552;550;501;387;330;536
MS;Oktibbeha County, MS;1302;1265;1741;2219;2175;1910;1774;1586;1384;1259;1662
MS;Panola County, MS;1186;1223;1779;1952;1940;1737;1635;1415;1171;973;1501
MS;Pearl River County, MS;1271;1415;1890;2225;2269;1957;1700;1497;1411;1392;1703
MS;Perry County, MS;346;411;521;632;617;509;444;385;343;311;452
MS;Pike County, MS;1016;1087;1519;1812;1824;1608;1442;1203;1076;1001;1359
MS;Pontotoc County, MS;850;1015;1297;1392;1309;1101;1018;917;775;681;1036
MS;Prentiss County, MS;830;892;1394;1369;1220;985;928;812;667;608;971
MS;Quitman County, MS;310;317;425;476;465;414;426;359;290;257;374
MS;Rankin County, MS;2874;3050;4367;4856;4684;4181;3738;3295;3039;2961;3705
MS;Scott County, MS;647;669;940;1082;1154;997;845;696;626;615;827
MS;Sharkey County, MS;210;210;257;299;295;263;241;195;166;153;229
MS;Simpson County, MS;633;678;969;1068;1057;930;815;690;643;599;808
MS;Smith County, MS;362;416;574;664;608;516;462;389;363;359;471
MS;Stone County, MS;432;448;616;726;757;690;618;542;477;440;575
MS;Sunflower County, MS;1039;1085;1307;1521;1486;1362;1256;1082;891;784;1181
MS;Tallahatchie County, MS;463;495;658;719;737;651;649;541;440;392;575
MS;Tate County, MS;706;787;1226;1360;1331;1149;1070;998;848;708;1018
MS;Tippah County, MS;651;873;1228;1214;1099;911;859;725;602;522;868
MS;Tishomingo County, MS;632;697;945;996;973;814;713;586;510;456;732
MS;Tunica County, MS;345;465;622;688;744;605;598;561;433;331;539
MS;Union County, MS;722;830;1197;1324;1315;1088;930;790;676;608;948
MS;Walthall County, MS;368;419;634;753;702;626;568;488;417;390;537
MS;Warren County, MS;1348;1419;2100;2447;2393;2096;1952;1599;1391;1327;1807
MS;Washington County, MS;1849;2091;2909;3313;3285;2909;2786;2301;1856;1618;2492
MS;Wayne County, MS;556;637;878;1042;998;939;848;685;604;555;774
MS;Webster County, MS;276;313;467;504;458;387;390;340;284;246;367
MS;Wilkinson County, MS;303;292;418;476;449;401;372;324;305;290;363
MS;Winston County, MS;529;596;1280;1348;1067;887;817;714;585;505;833
MS;Yalobusha County, MS;408;464;769;706;632;548;504;455;353;306;515
MS;Yazoo County, MS;769;878;1161;1212;1219;1105;1042;923;754;688;975
MO;Missouri;154932;186012;282852;292949;258562;210034;201751;186699;154857;140815;206946
MO;Adair County, MO;649;716;897;959;936;755;735;683;591;597;752
MO;Andrew County, MO;402;479;782;820;676;530;526;507;414;376;551
MO;Atchison County, MO;140;153;237;258;237;183;167;155;127;131;179
MO;Audrain County, MO;605;773;1135;1068;926;739;708;628;525;479;759
MO;Barry County, MO;865;977;1428;1507;1369;1070;1011;908;749;688;1057
MO;Barton County, MO;496;496;559;593;496;411;392;344;290;279;436
MO;Bates County, MO;481;562;804;923;846;674;607;572;497;438;640
MO;Benton County, MO;497;576;824;884;789;647;613;557;471;444;630
MO;Bollinger County, MO;312;375;575;588;518;402;406;381;312;286;416
MO;Boone County, MO;3250;3833;5555;5971;5372;4368;4367;4065;3488;3227;4350
MO;Buchanan County, MO;2148;2539;4210;4277;3760;2935;2876;2633;2142;1917;2944
MO;Butler County, MO;1405;1354;1734;1796;1694;1531;1463;1343;1180;1083;1458
MO;Caldwell County, MO;239;290;406;436;386;308;289;238;201;207;300
MO;Callaway County, MO;1007;1217;1846;1853;1680;1352;1294;1224;1024;898;1340
MO;Camden County, MO;1075;1406;2140;2330;2135;1813;1726;1529;1232;1088;1647
MO;Cape Girardeau County, MO;1674;1986;2817;3008;2743;2257;2341;2217;1768;1779;2259
MO;Carroll County, MO;264;358;530;550;496;383;341;339;292;261;381
MO;Carter County, MO;183;214;303;307;298;241;243;228;187;180;238
MO;Cass County, MO;2490;2994;4790;5138;4499;3522;3275;3018;2598;2261;3459
MO;Cedar County, MO;369;422;576;583;522;431;411;372;312;293;429
MO;Chariton County, MO;219;245;395;392;367;264;233;223;182;168;269
MO;Christian County, MO;1545;2015;3339;3441;3039;2375;2227;2074;1825;1699;2358
MO;Clark County, MO;199;218;429;430;341;270;265;238;246;250;289
MO;Clay County, MO;5030;6031;10151;10469;9286;7710;7667;7010;6030;5229;7461
MO;Clinton County, MO;537;614;993;1069;983;761;708;627;536;468;730
MO;Cole County, MO;1565;1804;2761;2791;2538;2055;2072;1988;1580;1417;2057
MO;Cooper County, MO;412;530;809;777;717;559;531;456;441;369;560
MO;Crawford County, MO;856;979;1344;1372;1180;946;926;870;659;582;971
MO;Dade County, MO;199;224;316;331;319;252;234;210;182;161;243
MO;Dallas County, MO;396;563;850;916;797;647;598;529;437;385;612
MO;Daviess County, MO;181;210;345;394;361;282;252;235;187;159;261
MO;DeKalb County, MO;273;325;488;444;403;300;301;269;236;225;326
MO;Dent County, MO;447;522;648;674;622;491;468;423;368;340;500
MO;Douglas County, MO;347;409;597;637;530;506;473;384;344;313;454
MO;Dunklin County, MO;1145;1133;1598;1657;1497;1268;1284;1189;1058;1070;1290
MO;Franklin County, MO;2930;3959;6455;6059;4979;4094;3679;3360;2672;2313;4050
MO;Gasconade County, MO;448;602;923;809;675;532;474;402;327;335;553
MO;Gentry County, MO;139;157;227;278;249;191;188;205;153;134;192
MO;Greene County, MO;5668;7095;11702;12069;10592;8530;7919;7152;6228;5668;8262
MO;Grundy County, MO;232;275;377;387;351;319;286;259;204;227;292
MO;Harrison County, MO;207;224;353;386;342;288;289;260;203;169;272
MO;Henry County, MO;613;730;1046;1094;958;765;702;656;552;495;761
MO;Hickory County, MO;256;334;470;464;417;434;365;308;248;209;351
MO;Holt County, MO;136;138;197;214;195;141;146;132;98;89;149
MO;Howard County, MO;229;305;430;437;401;328;316;269;248;225;319
MO;Howell County, MO;923;1126;1917;1846;1584;1348;1276;1161;1054;1027;1326
MO;Iron County, MO;287;325;510;597;502;427;415;387;306;267;402
MO;Jackson County, MO;19712;23138;35019;38529;34061;27673;26929;25452;21527;18712;27075
MO;Jasper County, MO;2549;2974;4726;5008;4463;3439;3366;3051;2493;2404;3447
MO;Jefferson County, MO;6010;7972;12408;12195;10265;8280;7767;7231;5740;5083;8295
MO;Johnson County, MO;1217;1402;2214;2334;2144;1768;1657;1470;1248;1146;1660
MO;Knox County, MO;89;110;141;156;142;111;108;90;77;71;110
MO;Laclede County, MO;981;1357;2068;1976;1799;1460;1488;1285;1015;885;1431
MO;Lafayette County, MO;849;1003;1547;1719;1589;1224;1081;1008;835;751;1161
MO;Lawrence County, MO;780;940;1588;1633;1447;1128;1143;1028;880;778;1135
MO;Lewis County, MO;225;267;453;444;358;285;281;269;257;236;308
MO;Lincoln County, MO;1495;2115;3245;3148;2688;2192;1982;1728;1398;1227;2122
MO;Linn County, MO;412;454;633;684;634;479;465;425;369;359;491
MO;Livingston County, MO;315;367;569;583;537;448;408;367;312;289;420
MO;McDonald County, MO;476;542;830;949;855;679;638;596;495;460;652
MO;Macon County, MO;401;469;693;693;619;505;482;457;399;369;509
MO;Madison County, MO;345;377;644;664;558;444;423;380;326;303;446
MO;Maries County, MO;248;300;389;403;355;300;274;246;210;200;293
MO;Marion County, MO;765;830;1409;1343;1088;883;875;808;658;627;929
MO;Mercer County, MO;74;88;128;150;123;95;98;95;84;89;102
MO;Miller County, MO;702;887;1493;1527;1304;1027;999;897;703;620;1016
MO;Mississippi County, MO;386;423;536;590;584;487;489;455;366;413;473
MO;Moniteau County, MO;346;409;609;625;565;484;463;442;364;324;463
MO;Monroe County, MO;249;303;547;505;404;311;300;268;220;203;331
MO;Montgomery County, MO;334;439;721;673;591;456;410;336;285;266;451
MO;Morgan County, MO;576;704;1168;1160;996;776;738;689;546;472;783
MO;New Madrid County, MO;614;637;790;819;800;655;644;627;535;778;690
MO;Newton County, MO;1315;1530;2247;2584;2313;1810;1734;1533;1304;1240;1761
MO;Nodaway County, MO;471;543;812;849;797;653;739;756;543;511;667
MO;Oregon County, MO;236;268;427;456;398;319;327;311;264;253;326
MO;Osage County, MO;348;456;495;516;459;369;357;336;269;246;385
MO;Ozark County, MO;230;267;366;423;423;365;377;328;291;270;334
MO;Pemiscot County, MO;536;613;1002;899;838;684;730;660;640;634;724
MO;Perry County, MO;410;485;747;713;657;513;548;558;431;361;542
MO;Pettis County, MO;1096;1318;1807;1861;1664;1411;1312;1265;1105;1026;1387
MO;Phelps County, MO;1086;1301;1606;1785;1681;1391;1350;1255;1044;935;1343
MO;Pike County, MO;447;528;843;808;684;557;524;464;373;366;559
MO;Platte County, MO;1919;2341;3840;3989;3602;2883;2970;2756;2337;2051;2869
MO;Polk County, MO;689;857;1413;1481;1337;1085;987;898;755;698;1020
MO;Pulaski County, MO;969;1128;1491;1467;1449;1293;1232;1103;873;798;1180
MO;Putnam County, MO;138;136;182;192;161;140;144;125;100;112;143
MO;Ralls County, MO;274;304;491;495;423;360;323;298;241;226;344
MO;Randolph County, MO;704;806;1403;1245;1135;929;856;744;632;555;901
MO;Ray County, MO;611;721;1110;1189;1062;930;856;759;613;554;841
MO;Reynolds County, MO;181;197;368;360;306;248;237;224;190;175;249
MO;Ripley County, MO;443;454;637;695;656;576;511;457;425;379;523
MO;St Charles County, MO;7875;10589;16695;16830;14225;11504;10945;10214;8401;7764;11504
MO;St Clair County, MO;276;301;416;464;406;310;302;305;277;251;331
MO;Ste Genevieve County, MO;464;594;950;968;862;659;646;601;487;422;665
MO;St Francois County, MO;1713;2134;3361;3341;2895;2310;2238;2007;1612;1458;2307
MO;St Louis County, MO;26117;31358;46207;47758;41897;34154;32560;30753;24754;22604;33816
MO;Saline County, MO;591;656;923;976;890;728;660;630;535;509;710
MO;Schuyler County, MO;124;139;173;203;174;139;148;139;111;122;147
MO;Scotland County, MO;120;169;198;186;154;118;126;115;112;102;140
MO;Scott County, MO;1165;1305;1811;1845;1729;1384;1405;1305;1056;1155;1416
MO;Shannon County, MO;255;293;456;481;412;337;320;321;273;248;340
MO;Shelby County, MO;166;176;292;279;230;188;170;184;146;129;196
MO;Stoddard County, MO;994;1162;1448;1421;1374;1169;1163;1025;878;864;1150
MO;Stone County, MO;1052;1290;1937;2002;1782;1526;1421;1285;1059;943;1430
MO;Sullivan County, MO;203;202;245;259;237;190;175;180;166;163;202
MO;Taney County, MO;1858;2179;3386;3628;3444;2874;2738;2511;2119;1956;2669
MO;Texas County, MO;626;777;1027;1083;950;790;790;744;628;585;800
MO;Vernon County, MO;493;562;732;791;694;563;575;553;500;470;593
MO;Warren County, MO;872;1236;1895;1898;1555;1267;1146;1051;833;735;1249
MO;Washington County, MO;827;1034;1435;1469;1238;1057;1014;895;710;658;1034
MO;Wayne County, MO;394;395;548;600;558;481;462;419;337;307;450
MO;Webster County, MO;816;954;1623;1723;1444;1132;1068;984;851;835;1143
MO;Worth County, MO;53;63;86;85;71;52;53;52;40;37;59
MO;Wright County, MO;484;594;838;905;746;638;634;556;480;454;633
MO;St Louis city, MO;11169;12285;18505;18956;16983;13727;13291;12127;9726;8686;13546
MT;Montana;17881;25816;34301;36527;34822;30311;27766;23984;21573;21831;27481
MT;Beaverhead County, MT;141;210;258;297;301;265;229;180;171;170;222
MT;Big Horn County, MT;338;430;496;605;677;669;803;562;371;403;535
MT;Blaine County, MT;109;136;148;168;177;159;152;142;120;110;142
MT;Broadwater County, MT;77;137;186;186;184;186;160;134;126;126;150
MT;Carbon County, MT;153;229;300;342;304;250;242;211;200;216;245
MT;Carter County, MT;21;25;27;28;27;22;21;23;22;20;24
MT;Cascade County, MT;1378;1882;2201;2451;2451;2131;1968;1653;1547;1524;1919
MT;Chouteau County, MT;79;96;104;120;121;105;96;84;83;96;98
MT;Custer County, MT;193;249;286;290;259;234;223;213;211;224;238
MT;Daniels County, MT;21;30;32;33;33;30;30;29;24;25;29
MT;Dawson County, MT;120;163;207;190;166;153;152;128;151;181;161
MT;Deer Lodge County, MT;186;256;298;317;319;288;258;229;208;203;256
MT;Fallon County, MT;35;48;60;58;51;42;40;40;46;67;49
MT;Fergus County, MT;232;284;331;386;360;314;289;248;236;229;291
MT;Flathead County, MT;1807;3115;5276;5274;4770;3913;3380;2834;2562;2580;3551
MT;Gallatin County, MT;1324;2152;3395;3452;3098;2683;2261;1990;1786;1741;2388
MT;Garfield County, MT;19;23;24;27;30;24;24;20;21;22;23
MT;Glacier County, MT;466;536;537;612;689;627;642;631;527;504;577
MT;Golden Valley County, MT;22;29;29;28;20;18;20;18;16;17;22
MT;Granite County, MT;61;87;130;135;132;120;115;104;97;96;108
MT;Hill County, MT;333;417;449;464;500;468;524;454;326;342;428
MT;Jefferson County, MT;183;277;384;354;352;309;275;260;227;262;288
MT;Judith Basin County, MT;39;49;57;65;60;52;48;41;34;32;48
MT;Lake County, MT;635;881;1053;1132;1144;957;806;695;634;623;856
MT;Lewis and Clark County, MT;1011;1419;1712;1887;1835;1694;1530;1313;1178;1170;1475
MT;Liberty County, MT;23;33;32;45;41;43;35;31;26;31;34
MT;Lincoln County, MT;584;850;1164;1262;1216;1029;1056;890;787;719;956
MT;McCone County, MT;22;29;33;33;33;32;26;26;23;21;28
MT;Madison County, MT;127;193;267;315;306;257;229;195;155;168;221
MT;Meagher County, MT;51;62;73;75;67;51;49;39;34;37;54
MT;Mineral County, MT;93;137;201;223;217;193;186;160;145;129;168
MT;Missoula County, MT;2027;2962;3714;4292;3964;3472;3089;2671;2374;2310;3088
MT;Musselshell County, MT;109;127;162;164;154;130;120;96;103;118;128
MT;Park County, MT;320;477;687;691;654;560;510;453;398;362;511
MT;Petroleum County, MT;12;14;13;16;16;13;14;12;15;13;14
MT;Phillips County, MT;86;112;126;150;147;123;122;108;100;104;118
MT;Pondera County, MT;108;145;161;173;177;144;143;140;128;122;144
MT;Powder River County, MT;29;34;36;39;50;40;37;33;27;25;35
MT;Powell County, MT;141;212;248;224;229;195;164;148;131;146;184
MT;Prairie County, MT;19;25;24;29;29;23;24;22;22;18;24
MT;Ravalli County, MT;835;1233;1680;1769;1675;1426;1271;1140;1001;936;1297
MT;Richland County, MT;131;178;260;218;190;188;186;175;222;316;206
MT;Roosevelt County, MT;241;294;313;315;328;318;272;250;246;253;283
MT;Rosebud County, MT;204;256;272;304;324;302;269;237;223;228;262
MT;Sanders County, MT;309;489;706;655;649;551;497;432;390;371;505
MT;Sheridan County, MT;47;59;77;67;67;61;61;56;52;65;61
MT;Silver Bow County, MT;633;865;1085;1106;1118;1045;940;842;735;746;912
MT;Stillwater County, MT;142;205;276;278;251;222;205;188;184;194;215
MT;Sweet Grass County, MT;54;78;112;95;80;68;66;63;50;56;72
MT;Teton County, MT;95;132;150;181;167;143;127;108;111;105;132
MT;Toole County, MT;62;86;109;112;111;106;92;71;78;79;91
MT;Treasure County, MT;13;17;21;21;21;19;16;14;18;16;18
MT;Valley County, MT;126;158;188;191;185;167;161;132;138;152;160
MT;Wheatland County, MT;35;45;60;68;67;53;51;39;43;41;50
MT;Wibaux County, MT;14;19;27;22;22;18;19;17;18;20;20
MT;Yellowstone County, MT;2203;3128;4051;4495;4209;3613;3444;2963;2676;2946;3373
NE;Nebraska;29269;32998;45935;46038;44197;40552;38648;33324;30719;32474;37415
NE;Adams County, NE;471;544;889;781;710;645;622;567;527;548;630
NE;Antelope County, NE;103;109;139;126;131;117;117;98;94;99;113
NE;Arthur County, NE;9;9;14;18;14;15;17;12;11;14;13
NE;Banner County, NE;8;10;12;18;20;20;20;16;15;16;16
NE;Blaine County, NE;9;12;14;13;15;15;15;12;12;12;13
NE;Boone County, NE;77;85;114;104;111;94;100;79;75;83;92
NE;Box Butte County, NE;180;210;372;291;253;240;233;180;173;215;235
NE;Boyd County, NE;32;36;44;43;44;45;40;36;29;35;38
NE;Brown County, NE;48;49;57;68;67;59;57;49;52;53;56
NE;Buffalo County, NE;628;697;1001;957;942;901;895;761;671;712;817
NE;Burt County, NE;156;166;222;216;209;174;168;141;133;137;172
NE;Butler County, NE;122;142;199;182;179;158;164;144;134;156;158
NE;Cass County, NE;459;519;716;755;701;619;583;495;440;462;575
NE;Cedar County, NE;116;122;176;165;155;138;141;109;112;123;136
NE;Chase County, NE;49;53;60;64;57;57;58;48;45;50;54
NE;Cherry County, NE;76;80;91;100;105;100;97;84;81;84;90
NE;Cheyenne County, NE;126;148;230;202;173;161;166;126;127;162;162
NE;Clay County, NE;86;100;132;147;144;130;121;114;100;110;118
NE;Colfax County, NE;124;148;215;223;220;201;199;168;147;165;181
NE;Cuming County, NE;135;144;190;178;168;152;152;131;130;144;152
