estado;nome;Unemployed_2007;Unemployed_2008;Unemployed_2009;Unemployed_2010;Unemployed_2011;Unemployed_2012;Unemployed_2013;Unemployed_2014;Unemployed_2015;Unemployed_2016;quantidade
TX;Texas;490218;560275;901896;997338;969403;851780;801396;663778;581058;612822;742996
TX;Anderson County, TX;1009;1127;1812;1755;1624;1417;1274;1014;896;1018;1295
TX;Andrews County, TX;213;229;491;439;389;341;349;285;323;417;348
TX;Angelina County, TX;1720;1849;3280;3242;3011;2613;2446;1973;2085;2198;2442
TX;Aransas County, TX;442;499;790;890;861;693;658;564;508;574;648
TX;Archer County, TX;161;186;296;306;272;239;221;191;182;181;224
TX;Armstrong County, TX;36;38;48;50;50;46;40;32;26;27;39
TX;Atascosa County, TX;760;882;1442;1601;1588;1353;1256;1006;976;1127;1199
TX;Austin County, TX;478;546;968;1119;1117;901;826;674;643;753;803
TX;Bailey County, TX;140;136;188;257;246;220;217;149;120;119;179
TX;Bandera County, TX;360;421;641;716;688;598;544;434;364;388;515
TX;Bastrop County, TX;1380;1640;2713;2907;2835;2360;2200;1783;1454;1443;2072
TX;Baylor County, TX;76;76;110;122;111;95;89;70;57;58;86
TX;Bee County, TX;655;690;1070;940;908;763;740;622;641;791;782
TX;Bell County, TX;5270;5932;8446;10166;10702;9939;9312;7848;6319;6232;8017
TX;Bexar County, TX;30030;34795;51506;59203;59731;53283;49494;40472;33407;33598;44552
TX;Blanco County, TX;155;176;263;323;308;283;259;207;180;180;233
TX;Borden County, TX;15;13;23;23;21;18;16;13;12;14;17
TX;Bosque County, TX;346;373;665;744;699;592;521;419;361;355;508
TX;Bowie County, TX;2011;2149;2926;3563;3505;3091;3076;2490;1876;1869;2656
TX;Brazoria County, TX;6011;7233;11823;13184;12724;10752;10000;8452;7620;8702;9650
TX;Brazos County, TX;3162;3537;5285;6294;6017;5267;5020;4152;3590;3777;4610
TX;Brewster County, TX;171;187;261;268;270;232;230;188;154;150;211
TX;Briscoe County, TX;30;30;36;45;44;35;35;27;23;24;33
TX;Brooks County, TX;164;172;309;310;284;237;247;209;257;287;248
TX;Brown County, TX;752;805;1296;1348;1311;1090;1026;819;684;700;983
TX;Burleson County, TX;296;344;558;619;565;482;473;360;337;369;440
TX;Burnet County, TX;748;858;1354;1374;1394;1217;1134;924;769;757;1053
TX;Caldwell County, TX;680;802;1312;1436;1420;1208;1119;896;755;774;1040
TX;Calhoun County, TX;408;444;802;897;904;765;669;528;451;602;647
TX;Callahan County, TX;233;255;413;436;431;361;338;259;244;246;322
TX;Cameron County, TX;8378;9618;14716;18145;19050;17143;16582;13842;11577;11963;14101
TX;Camp County, TX;250;269;509;516;508;441;403;318;312;343;387
