estado;nome;Unemployed_2007;Unemployed_2008;Unemployed_2009;Unemployed_2010;Unemployed_2011;Unemployed_2012;Unemployed_2013;Unemployed_2014;Unemployed_2015;Unemployed_2016;quantidade
GA;Pickens County, GA;568;922;1600;1540;1481;1262;1103;922;738;700;1084
GA;Pierce County, GA;337;468;814;858;863;788;698;605;501;453;639
GA;Pike County, GA;342;543;885;906;860;779;706;575;470;440;651
GA;Polk County, GA;932;1360;2283;2246;2147;1876;1653;1436;1199;1107;1624
GA;Pulaski County, GA;184;245;340;418;431;393;373;318;263;243;321
GA;Putnam County, GA;454;740;1137;1170;1126;956;843;733;629;559;835
GA;Quitman County, GA;57;89;115;101;100;90;74;74;56;59;82
GA;Rabun County, GA;425;443;724;843;871;795;678;537;435;394;615
GA;Randolph County, GA;177;235;335;363;376;355;289;264;221;210;283
GA;Richmond County, GA;5545;6597;9221;9678;9951;9400;8555;7366;6223;5740;7828
GA;Rockdale County, GA;2016;2820;4473;4750;4742;4294;3872;3308;2751;2499;3553
GA;Schley County, GA;108;125;242;262;248;227;198;166;140;135;185
GA;Screven County, GA;351;578;1034;986;911;786;703;538;418;399;670
GA;Seminole County, GA;217;300;441;424;412;355;322;295;249;247;326
GA;Spalding County, GA;1597;2452;4096;4260;4004;3538;3202;2583;2177;1902;2981
GA;Stephens County, GA;657;855;1474;1463;1403;1235;1057;855;708;654;1036
GA;Stewart County, GA;143;181;246;248;229;215;201;165;146;142;192
GA;Sumter County, GA;1048;1129;1867;1892;1750;1660;1516;1276;1065;981;1418
GA;Talbot County, GA;202;210;295;290;307;294;266;221;208;186;248
GA;Taliaferro County, GA;67;69;121;114;97;86;71;65;46;39;78
GA;Tattnall County, GA;436;614;843;876;869;817;762;663;571;505;696
GA;Taylor County, GA;196;257;422;471;459;417;372;291;254;253;339
GA;Telfair County, GA;386;506;643;772;699;629;607;514;419;410;559
GA;Terrell County, GA;264;293;460;478;462;410;360;290;270;241;353
GA;Thomas County, GA;942;1284;1970;2010;1901;1791;1611;1503;1213;1103;1533
GA;Tift County, GA;1007;1356;2068;2247;2290;1933;1594;1333;1121;1016;1597
GA;Toombs County, GA;655;1006;1376;1511;1667;1472;1412;1210;1034;921;1226
GA;Towns County, GA;222;346;499;558;546;501;442;382;308;278;408
GA;Treutlen County, GA;157;246;335;356;397;391;349;297;229;214;297
GA;Troup County, GA;1727;2492;3986;3758;3800;3500;3124;2649;2157;1878;2907
GA;Turner County, GA;327;389;651;586;514;405;334;259;216;214;390
GA;Twiggs County, GA;262;330;515;505;504;472;431;333;270;261;388
GA;Union County, GA;413;652;1040;1046;963;854;739;628;524;489;735
GA;Upson County, GA;767;995;1541;1461;1392;1281;1175;1007;805;721;1115
GA;Walker County, GA;1467;2204;3516;3192;3039;2778;2443;2124;1752;1684;2420
GA;Walton County, GA;1877;2702;4310;4370;4291;3741;3200;2670;2248;2104;3151
GA;Ware County, GA;737;1006;1618;1714;1724;1570;1419;1169;941;829;1273
GA;Warren County, GA;184;255;474;457;439;397;329;264;205;188;319
GA;Washington County, GA;470;647;1086;1181;1034;836;743;613;502;463;758
